"STATISTIC Label","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1980 January","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","121"
"Fertiliser Price","1980 January","Urea (46% N)","Euro per Tonne","144"
"Fertiliser Price","1980 January","Granular Superphosphate (16% P)","Euro per Tonne","160"
"Fertiliser Price","1980 January","Muriate of Potash (50% K)","Euro per Tonne","109"
"Fertiliser Price","1980 January","Compound 0-10-20","Euro per Tonne","130"
"Fertiliser Price","1980 January","Compound 0-7-30","Euro per Tonne","129"
"Fertiliser Price","1980 January","Compound 7-6-17","Euro per Tonne","151"
"Fertiliser Price","1980 January","Compound 10-10-20","Euro per Tonne","165"
"Fertiliser Price","1980 January","Compound 14-7-14","Euro per Tonne","155"
"Fertiliser Price","1980 January","Compound 18-6-12","Euro per Tonne","157"
"Fertiliser Price","1980 January","Compound 24-2.5-10","Euro per Tonne","158"
"Fertiliser Price","1980 January","Compound 27-2.5-5","Euro per Tonne","156"
"Fertiliser Price","1980 January","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 January","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 January","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 January","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 January","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 January","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 January","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 January","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 January","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 January","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 January","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 January","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 February","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1980 February","Urea (46% N)","Euro per Tonne","147"
"Fertiliser Price","1980 February","Granular Superphosphate (16% P)","Euro per Tonne","162"
"Fertiliser Price","1980 February","Muriate of Potash (50% K)","Euro per Tonne","109"
"Fertiliser Price","1980 February","Compound 0-10-20","Euro per Tonne","131"
"Fertiliser Price","1980 February","Compound 0-7-30","Euro per Tonne","130"
"Fertiliser Price","1980 February","Compound 7-6-17","Euro per Tonne","154"
"Fertiliser Price","1980 February","Compound 10-10-20","Euro per Tonne","167"
"Fertiliser Price","1980 February","Compound 14-7-14","Euro per Tonne","159"
"Fertiliser Price","1980 February","Compound 18-6-12","Euro per Tonne","159"
"Fertiliser Price","1980 February","Compound 24-2.5-10","Euro per Tonne","162"
"Fertiliser Price","1980 February","Compound 27-2.5-5","Euro per Tonne","160"
"Fertiliser Price","1980 February","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 February","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 February","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 February","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 February","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 February","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 February","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 February","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 February","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 February","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 February","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 February","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 March","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","127"
"Fertiliser Price","1980 March","Urea (46% N)","Euro per Tonne","159"
"Fertiliser Price","1980 March","Granular Superphosphate (16% P)","Euro per Tonne","168"
"Fertiliser Price","1980 March","Muriate of Potash (50% K)","Euro per Tonne","114"
"Fertiliser Price","1980 March","Compound 0-10-20","Euro per Tonne","132"
"Fertiliser Price","1980 March","Compound 0-7-30","Euro per Tonne","130"
"Fertiliser Price","1980 March","Compound 7-6-17","Euro per Tonne","154"
"Fertiliser Price","1980 March","Compound 10-10-20","Euro per Tonne","169"
"Fertiliser Price","1980 March","Compound 14-7-14","Euro per Tonne","160"
"Fertiliser Price","1980 March","Compound 18-6-12","Euro per Tonne","161"
"Fertiliser Price","1980 March","Compound 24-2.5-10","Euro per Tonne","166"
"Fertiliser Price","1980 March","Compound 27-2.5-5","Euro per Tonne","162"
"Fertiliser Price","1980 March","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 March","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 March","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 March","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 March","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 March","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 March","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 March","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 March","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 March","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 March","Compound 19-0-15","Euro per Tonne",""
