Month,Price,Change
Apr-04,93.88,-
May-04,93.78,-0.11%
Jun-04,92.66,-1.20%
Jul-04,91.73,-1.00%
Aug-04,103.41,12.74%
Sep-04,117.46,13.58%
Oct-04,116.92,-0.46%
Nov-04,116.4,-0.44%
Dec-04,113.75,-2.28%
Jan-05,116.25,2.20%
Feb-05,117.2,0.81%
Mar-05,115.54,-1.41%
Apr-05,117.87,2.02%
May-05,120.16,1.94%
Jun-05,125.37,4.34%
Jul-05,126.7,1.06%
Aug-05,124.07,-2.08%
Sep-05,124.45,0.31%
Oct-05,126.93,2.00%
Nov-05,142.13,11.97%
Dec-05,141.28,-0.60%
Jan-06,138.41,-2.04%
Feb-06,140.31,1.38%
Mar-06,139.36,-0.68%
Apr-06,136.52,-2.04%
May-06,131.18,-3.91%
Jun-06,132.42,0.95%
Jul-06,136.01,2.71%
Aug-06,150.26,10.48%
Sep-06,151.25,0.66%
Oct-06,152.65,0.92%
Nov-06,149.46,-2.09%
Dec-06,145.7,-2.52%
Jan-07,148.1,1.65%
Feb-07,147.24,-0.58%
Mar-07,145.38,-1.27%
Apr-07,142.43,-2.03%
May-07,142.48,0.03%
Jun-07,143.46,0.69%
Jul-07,140.36,-2.16%
Aug-07,141.32,0.69%
Sep-07,142.15,0.59%
Oct-07,142.34,0.13%
Nov-07,137.92,-3.11%
Dec-07,138.99,0.78%
Jan-08,156.71,12.75%
Feb-08,162.76,3.86%
Mar-08,154.6,-5.01%
Apr-08,249.53,61.40%
May-08,350.99,40.66%
Jun-08,351.08,0.03%
Jul-08,346.25,-1.38%
Aug-08,364.76,5.35%
Sep-08,380.07,4.20%
Oct-08,410.39,7.98%
Nov-08,428.88,4.51%
Dec-08,406.88,-5.13%
Jan-09,412.63,1.41%
Feb-09,453.8,9.98%
Mar-09,523.45,15.35%
Apr-09,517.5,-1.14%
May-09,500.14,-3.35%
Jun-09,486.97,-2.63%
Jul-09,437.03,-10.26%
Aug-09,371.48,-15.00%
Sep-09,291.9,-21.42%
Oct-09,286.87,-1.72%
Nov-09,284.97,-0.66%
Dec-09,290.93,2.09%
Jan-10,272.87,-6.21%
Feb-10,273.58,0.26%
Mar-10,250.6,-8.40%
Apr-10,253.64,1.21%
May-10,266.07,4.90%
Jun-10,256,-3.79%
Jul-10,244.79,-4.38%
Aug-10,242.42,-0.97%
Sep-10,239.12,-1.36%
Oct-10,224.9,-5.95%
Nov-10,234.86,4.43%
Dec-10,243.98,3.88%
Jan-11,241.45,-1.03%
Feb-11,274.33,13.62%
Mar-11,242.89,-11.46%
Apr-11,235.47,-3.06%
May-11,233.14,-0.99%
Jun-11,246.75,5.84%
Jul-11,310.51,25.84%
Aug-11,308.52,-0.64%
Sep-11,321.85,4.32%
Oct-11,317.36,-1.39%
Nov-11,320.33,0.94%
Dec-11,341.52,6.62%
Jan-12,383.32,12.24%
Feb-12,374.41,-2.32%
Mar-12,374.99,0.15%
Apr-12,362.81,-3.25%
May-12,373.17,2.86%
Jun-12,381.22,2.16%
Jul-12,227.71,-40.27%
Aug-12,385.11,69.12%
Sep-12,371.05,-3.65%
Oct-12,368.03,-0.81%
Nov-12,372.48,1.21%
Dec-12,364.27,-2.20%
Jan-13,297.34,-18.37%
Feb-13,295.72,-0.55%
Mar-13,304.71,3.04%
Apr-13,303.26,-0.48%
May-13,304.24,0.32%
Jun-13,299.52,-1.55%
Jul-13,301.92,0.80%
Aug-13,296.79,-1.70%
Sep-13,295.8,-0.33%
Oct-13,289.64,-2.08%
Nov-13,293,1.16%
