Month,Price,Change
Apr-04,36.72,-
May-04,36.68,-0.11%
Jun-04,36.24,-1.20%
Jul-04,35.88,-1.00%
Aug-04,36.14,0.74%
Sep-04,36.01,-0.35%
Oct-04,35.24,-2.16%
Nov-04,33.87,-3.87%
Dec-04,32.82,-3.11%
Jan-05,33.54,2.20%
Feb-05,33.81,0.81%
Mar-05,33.34,-1.41%
Apr-05,34.01,2.02%
May-05,34.67,1.94%
Jun-05,36.17,4.34%
Jul-05,36.56,1.06%
Aug-05,35.8,-2.08%
Sep-05,35.91,0.31%
Oct-05,36.62,2.00%
Nov-05,37.34,1.95%
Dec-05,37.11,-0.60%
Jan-06,36.36,-2.04%
Feb-06,36.86,1.38%
Mar-06,36.61,-0.68%
Apr-06,35.86,-2.04%
May-06,34.46,-3.91%
Jun-06,34.79,0.95%
Jul-06,34.69,-0.27%
Aug-06,34.35,-1.00%
Sep-06,34.57,0.66%
Oct-06,34.89,0.92%
Nov-06,34.16,-2.09%
Dec-06,33.3,-2.52%
Jan-07,33.85,1.65%
Feb-07,33.66,-0.58%
Mar-07,33.23,-1.27%
Apr-07,32.56,-2.03%
May-07,32.57,0.03%
Jun-07,32.79,0.69%
Jul-07,32.08,-2.16%
Aug-07,32.3,0.69%
Sep-07,41.57,28.68%
Oct-07,50.26,20.91%
Nov-07,48.7,-3.11%
Dec-07,49.08,0.78%
Jan-08,48.58,-1.01%
Feb-08,48.49,-0.20%
Mar-08,46.06,-5.01%
Apr-08,101.83,121.09%
May-08,122.14,19.94%
Jun-08,122.17,0.03%
Jul-08,152.2,24.58%
Aug-08,193.74,27.29%
Sep-08,193.51,-0.12%
Oct-08,338.23,74.78%
Nov-08,353.47,4.51%
Dec-08,335.34,-5.13%
Jan-09,340.08,1.41%
Feb-09,352.01,3.51%
Mar-09,345.13,-1.95%
Apr-09,238.85,-30.80%
May-09,197.86,-17.16%
Jun-09,141.27,-28.60%
Jul-09,63.89,-54.78%
Aug-09,63.08,-1.27%
Sep-09,61.81,-2.01%
Oct-09,60.75,-1.72%
Nov-09,60.35,-0.66%
Dec-09,61.61,2.09%
Jan-10,63.07,2.37%
Feb-10,65.77,4.28%
Mar-10,66.34,0.86%
Apr-10,67.14,1.21%
May-10,71.59,6.63%
Jun-10,73.73,2.99%
Jul-10,77.35,4.92%
Aug-10,96.97,25.36%
Sep-10,95.65,-1.36%
Oct-10,89.96,-5.95%
Nov-10,91.03,1.19%
Dec-10,94.56,3.88%
Jan-11,93.59,-1.03%
Feb-11,102.59,9.62%
Mar-11,103.59,0.98%
Apr-11,100.42,-3.06%
May-11,102.46,2.03%
Jun-11,107.74,5.16%
Jul-11,113.59,5.43%
Aug-11,127.24,12.02%
Sep-11,132.74,4.32%
Oct-11,137.71,3.74%
Nov-11,143.6,4.28%
Dec-11,147.99,3.06%
Jan-12,151,2.03%
Feb-12,143.71,-4.83%
Mar-12,121.21,-15.66%
Apr-12,140.56,15.97%
May-12,152.4,8.42%
Jun-12,154.19,1.18%
Jul-12,153.57,-0.40%
Aug-12,147.19,-4.16%
Sep-12,141.81,-3.65%
Oct-12,140.66,-0.81%
Nov-12,142.36,1.21%
Dec-12,139.23,-2.20%
Jan-13,137.38,-1.33%
Feb-13,136.63,-0.55%
Mar-13,123.43,-9.66%
Apr-13,85.6,-30.65%
May-13,121.31,41.71%
Jun-13,95.26,-21.47%
Jul-13,87.9,-7.73%
Aug-13,86.41,-1.70%
Sep-13,73.01,-15.50%
Oct-13,61.87,-15.26%
Nov-13,64.91,4.90%
Dec-13,70.72,8.96%
Jan-14,71.63,1.28%
Feb-14,71.4,-0.32%
Mar-14,77.12,8.02%
Apr-14,80.72,4.67%
May-14,82,1.57%
Jun-14,81.96,-0.05%
Jul-14,81.97,0.02%
Aug-14,83.36,1.69%
Sep-14,86.41,3.66%
Oct-14,91.54,5.93%
Nov-14,95.82,4.68%
Dec-14,96.92,1.14%
Jan-15,103.06,6.34%
Feb-15,106.86,3.69%
Mar-15,113.53,6.24%
Apr-15,105.9,-6.73%
May-15,99.05,-6.47%
Jun-15,106.04,7.07%
Jul-15,110.09,3.82%
Aug-15,108.66,-1.31%
Sep-15,110.47,1.67%
Oct-15,110.01,-0.42%
Nov-15,114.89,4.44%
Dec-15,113.55,-1.17%
Jan-16,112.92,-0.56%
Feb-16,103.27,-8.54%
Mar-16,103.18,-0.09%
Apr-16,100.65,-2.45%
May-16,97.63,-3.00%
Jun-16,98.42,0.80%
Jul-16,99.87,1.47%
Aug-16,97.89,-1.98%
Sep-16,97.19,-0.71%
Oct-16,98.93,1.78%
Nov-16,95.21,-3.76%
Dec-16,92.49,-2.85%
Jan-17,91.21,-1.38%
Feb-17,89.26,-2.14%
Mar-17,91.26,2.25%
Apr-17,89.23,-2.22%
May-17,83.71,-6.19%
Jun-17,82.38,-1.60%
Jul-17,80.31,-2.51%
Aug-17,75.17,-6.40%
Sep-17,71.34,-5.10%
Oct-17,68.05,-4.61%
Nov-17,68.23,0.27%
Dec-17,67.59,-0.94%
Jan-18,65.61,-2.93%
Feb-18,66.83,1.87%
Mar-18,68.66,2.73%
Apr-18,71.69,4.41%
May-18,74.46,3.86%
Jun-18,74.33,-0.17%
Jul-18,74.34,0.01%
Aug-18,75.77,1.93%
Sep-18,75.04,-0.97%
Oct-18,79.46,5.89%
Nov-18,81.39,2.42%
Dec-18,87.15,7.09%
Jan-19,89.76,3.00%
Feb-19,90.29,0.59%
Mar-19,87.15,-3.48%
Apr-19,86.76,-0.45%
May-19,87.18,0.48%
Jun-19,86.34,-0.97%
Jul-19,71.33,-17.38%
Aug-19,70.11,-1.72%
Sep-19,70.42,0.45%
Oct-19,70.12,-0.43%
Nov-19,66.93,-4.55%
Dec-19,65.27,-2.48%
Jan-20,65.31,0.07%
Feb-20,66.47,1.77%
Mar-20,64.99,-2.22%
Apr-20,65.11,0.18%
May-20,66.88,2.71%
Jun-20,66.64,-0.35%
Jul-20,65.34,-1.95%
Aug-20,65,-0.52%
Sep-20,67.34,3.60%
Oct-20,67.95,0.90%
Nov-20,69.74,2.64%
Dec-20,68.6,-1.63%
Jan-21,69.81,1.76%
Feb-21,72.86,4.37%
Mar-21,80.89,11.03%
Apr-21,79.31,-1.96%
May-21,84.41,6.43%
Jun-21,103.77,22.93%
Jul-21,105.76,1.92%
Aug-21,116.28,9.95%
Sep-21,125.47,7.90%
Oct-21,127.12,1.32%
Nov-21,133.99,5.40%
Dec-21,156.38,16.70%
Jan-22,153.08,-2.10%
Feb-22,152.1,-0.65%
Mar-22,162.23,6.66%
Apr-22,230.6,42.15%
May-22,241.28,4.63%
Jun-22,272.08,12.77%
Jul-22,314.83,15.71%
Aug-22,315.99,0.37%
Sep-22,323.22,2.29%
Oct-22,322.95,-0.08%
Nov-22,294.77,-8.73%
Dec-22,283.68,-3.76%
Jan-23,278.56,-1.81%
Feb-23,300.95,8.04%
Mar-23,322.29,7.09%
Apr-23,314.57,-2.40%
May-23,317.28,0.86%
Jun-23,317.95,0.21%
Jul-23,309.29,-2.72%
Aug-23,317.41,2.63%
Sep-23,325.45,2.53%
Oct-23,328.95,1.08%
Nov-23,321.69,-2.21%
Dec-23,140.3,-56.39%
Jan-24,139.87,-0.30%
Feb-24,141.26,1.00%
