Month,Price,Change
Apr-04,107.13,-
May-04,113.28,5.75%
Jun-04,130.34,15.05%
Jul-04,150.84,15.73%
Aug-04,161.15,6.84%
Sep-04,178.54,10.79%
Oct-04,193.91,8.60%
Nov-04,172.83,-10.87%
Dec-04,138.18,-20.05%
Jan-05,140.72,1.84%
Feb-05,142.75,1.44%
Mar-05,164.51,15.24%
Apr-05,187.15,13.77%
May-05,201.71,7.78%
Jun-05,178.8,-11.36%
Jul-05,184.34,3.10%
Aug-05,169.62,-7.98%
Sep-05,171.68,1.21%
Oct-05,179.37,4.48%
Nov-05,199.41,11.17%
Dec-05,180.41,-9.53%
Jan-06,167.16,-7.34%
Feb-06,179.16,7.18%
Mar-06,202.28,12.91%
Apr-06,201.72,-0.28%
May-06,179.73,-10.90%
Jun-06,166.02,-7.63%
Jul-06,162.03,-2.41%
Aug-06,164.31,1.41%
Sep-06,169.03,2.87%
Oct-06,165.89,-1.86%
Nov-06,176.54,6.42%
Dec-06,190.48,7.89%
Jan-07,203.88,7.03%
Feb-07,229,12.32%
Mar-07,240.26,4.92%
Apr-07,215.31,-10.38%
May-07,216.96,0.76%
Jun-07,217.53,0.26%
Jul-07,196.5,-9.67%
Aug-07,191.34,-2.63%
Sep-07,219.52,14.73%
Oct-07,227.56,3.66%
Nov-07,249.44,9.61%
Dec-07,275.7,10.53%
Jan-08,255.91,-7.18%
Feb-08,222.52,-13.05%
Mar-08,238.99,7.40%
Apr-08,293.66,22.88%
May-08,407.4,38.73%
Jun-08,412.81,1.33%
Jul-08,465.31,12.72%
Aug-08,524.43,12.71%
Sep-08,518.24,-1.18%
Oct-08,432.18,-16.61%
Nov-08,225.83,-47.75%
Dec-08,178.85,-20.80%
Jan-09,206.88,15.67%
Feb-09,220.01,6.34%
Mar-09,205.93,-6.40%
Apr-09,186.25,-9.56%
May-09,173.13,-7.04%
Jun-09,171.03,-1.21%
Jul-09,173.03,1.17%
Aug-09,176.28,1.87%
Sep-09,159.52,-9.51%
Oct-09,158.54,-0.61%
Nov-09,163.27,2.98%
Dec-09,179.35,9.85%
Jan-10,186.76,4.13%
Feb-10,217.4,16.41%
Mar-10,205.42,-5.51%
Apr-10,189.3,-7.85%
May-10,186.13,-1.67%
Jun-10,185.34,-0.42%
Jul-10,203.18,9.62%
Aug-10,204.41,0.61%
Sep-10,236.25,15.57%
Oct-10,239.29,1.29%
Nov-10,266.1,11.20%
Dec-10,287.95,8.21%
Jan-11,283.38,-1.59%
Feb-11,218,-23.07%
Mar-11,199.1,-8.67%
Apr-11,175.74,-11.74%
May-11,163.09,-7.20%
Jun-11,332.77,104.04%
Jul-11,339.45,2.01%
Aug-11,331.53,-2.33%
Sep-11,370.03,11.61%
Oct-11,360.04,-2.70%
Nov-11,354.39,-1.57%
Dec-11,321.13,-9.39%
Jan-12,284.97,-11.26%
Feb-12,283.64,-0.47%
Mar-12,297.82,5.00%
Apr-12,375.63,26.13%
May-12,401.02,6.76%
Jun-12,364.76,-9.04%
Jul-12,250.53,-31.32%
Aug-12,308.49,23.14%
Sep-12,298.69,-3.18%
Oct-12,268.99,-9.94%
Nov-12,299.15,11.21%
Dec-12,286.71,-4.16%
Jan-13,286.05,-0.23%
Feb-13,311.16,8.78%
Mar-13,305.2,-1.92%
Apr-13,280.71,-8.02%
May-13,275.84,-1.73%
Jun-13,249.76,-9.45%
Jul-13,238.86,-4.37%
Aug-13,233.39,-2.29%
Sep-13,225.41,-3.42%
Oct-13,217.69,-3.42%
Nov-13,226.24,3.93%
Dec-13,222.65,-1.59%
Jan-14,242.43,8.88%
Feb-14,258.59,6.67%
Mar-14,236.94,-8.37%
Apr-14,188.24,-20.55%
May-14,192.92,2.49%
Jun-14,212.44,10.12%
Jul-14,225.24,6.03%
Aug-14,233.75,3.78%
Sep-14,246.33,5.38%
Oct-14,250.55,1.71%
Nov-14,254.59,1.61%
Dec-14,249.9,-1.84%
Jan-15,263.04,5.26%
Feb-15,268.81,2.19%
Mar-15,272.75,1.47%
Apr-15,241.25,-11.55%
May-15,237.53,-1.54%
Jun-15,257.53,8.42%
Jul-15,258.18,0.25%
Aug-15,246.61,-4.48%
Sep-15,248.91,0.93%
Oct-15,223.25,-10.31%
Nov-15,245.25,9.86%
Dec-15,242.74,-1.03%
Jan-16,215.4,-11.26%
Feb-16,173.07,-19.65%
Mar-16,181.8,5.05%
Apr-16,173.08,-4.80%
May-16,175.28,1.27%
Jun-16,127.03,-27.53%
Jul-16,163.58,28.77%
Aug-16,166.13,1.56%
Sep-16,167.01,0.53%
Oct-16,170.17,1.89%
Nov-16,189.49,11.35%
Dec-16,206.57,9.01%
Jan-17,220.08,6.54%
Feb-17,180.28,-18.08%
Mar-17,209.2,16.04%
Apr-17,193.98,-7.28%
May-17,161.77,-16.60%
Jun-17,170.1,5.15%
Jul-17,157.15,-7.61%
Aug-17,163.16,3.82%
Sep-17,183.81,12.66%
Oct-17,214.78,16.85%
Nov-17,238.82,11.19%
Dec-17,181.34,-24.07%
Jan-18,180.12,-0.67%
Feb-18,188.35,4.57%
Mar-18,188.47,0.07%
Apr-18,187.88,-0.32%
May-18,187.73,-0.08%
Jun-18,191.82,2.18%
Jul-18,216.04,12.63%
Aug-18,225.15,4.22%
Sep-18,229.4,1.89%
Oct-18,235.12,2.49%
Nov-18,268.88,14.36%
Dec-18,243.15,-9.57%
Jan-19,227.7,-6.35%
Feb-19,220.78,-3.04%
Mar-19,218.98,-0.81%
Apr-19,220.24,0.57%
May-19,221.3,0.48%
Jun-19,219.16,-0.97%
Jul-19,234.96,7.21%
Aug-19,235.94,0.42%
Sep-19,216.03,-8.44%
Oct-19,214.42,-0.74%
Nov-19,203.04,-5.31%
Dec-19,195.8,-3.57%
Jan-20,194.04,-0.90%
Feb-20,196.54,1.29%
Mar-20,208.98,6.33%
Apr-20,216.27,3.49%
May-20,185.22,-14.36%
Jun-20,179.49,-3.09%
Jul-20,186.79,4.07%
Aug-20,210.94,12.93%
Sep-20,212.51,0.74%
Oct-20,208.09,-2.08%
Nov-20,207.11,-0.47%
Dec-20,201.69,-2.61%
Jan-21,217.64,7.91%
Feb-21,276.95,27.25%
Mar-21,296.58,7.09%
Apr-21,273.91,-7.64%
May-21,273.11,-0.29%
Jun-21,326.46,19.54%
Jul-21,373.54,14.42%
Aug-21,379.63,1.63%
Sep-21,356.21,-6.17%
Oct-21,599,68.16%
Nov-21,787.96,31.55%
Dec-21,787.76,-0.03%
Jan-22,748.38,-5.00%
Feb-22,656.15,-12.32%
Mar-22,791.85,20.68%
Apr-22,854.92,7.97%
May-22,669.42,-21.70%
Jun-22,652.98,-2.46%
Jul-22,591.29,-9.45%
Aug-22,583.83,-1.26%
Sep-22,684.83,17.30%
Oct-22,647.18,-5.50%
Nov-22,578.49,-10.61%
Dec-22,491.12,-15.10%
Jan-23,412.03,-16.10%
Feb-23,333.61,-19.03%
Mar-23,292.86,-12.21%
Apr-23,285.74,-2.43%
May-23,302.8,5.97%
Jun-23,265.34,-12.37%
Jul-23,302.18,13.88%
Aug-23,353.51,16.99%
Sep-23,355.89,0.67%
Oct-23,389.42,9.42%
Nov-23,356.87,-8.36%
Dec-23,325.67,-8.74%
Jan-24,307.6,-5.55%
Feb-24,325.37,5.78%
