,date,fertiliser_type,fertiliser_price,month_year,month,year,phosphate_price,urea_price,milk_price,gas_price,potassium_price,Consumer Price Index
10080,2015-01-01,Calcium Ammonium Nitrate (27.5% N),325.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10081,2015-01-01,Urea (46% N),399.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10083,2015-01-01,Muriate of Potash (50% K),424.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10084,2015-01-01,Compound 0-10-20,411.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10085,2015-01-01,Compound 0-7-30,414.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10086,2015-01-01,Compound 7-6-17,478.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10087,2015-01-01,Compound 10-10-20,448.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10088,2015-01-01,Compound 14-7-14,438.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10089,2015-01-01,Compound 18-6-12,416.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10090,2015-01-01,Compound 24-2.5-10,433.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10091,2015-01-01,Compound 27-2.5-5,426.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10093,2015-01-01,Compound 8-5-18,426.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10094,2015-01-01,Compound 20-4-10,416.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10095,2015-01-01,Sulphate of Ammonia (21%),330.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10097,2015-01-01,Compound 10-5-25,415.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10098,2015-01-01,Compound 13-6-20,465.6797223599405,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10099,2015-01-01,Compound 15-3-20,465.6797223599405,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10101,2015-01-01,Compound 24-2.2-4.5,399.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10102,2015-01-01,Compound 19-0-15,399.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10103,2015-01-01,Compound 25-4-0,412.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05,-0.234183079
10104,2015-02-01,Calcium Ammonium Nitrate (27.5% N),328.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10105,2015-02-01,Urea (46% N),411.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10107,2015-02-01,Muriate of Potash (50% K),417.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10108,2015-02-01,Compound 0-10-20,410.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10109,2015-02-01,Compound 0-7-30,410.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10110,2015-02-01,Compound 7-6-17,487.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10111,2015-02-01,Compound 10-10-20,449.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10112,2015-02-01,Compound 14-7-14,433.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10113,2015-02-01,Compound 18-6-12,417.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10114,2015-02-01,Compound 24-2.5-10,438.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10115,2015-02-01,Compound 27-2.5-5,430.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10117,2015-02-01,Compound 8-5-18,426.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10118,2015-02-01,Compound 20-4-10,421.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10119,2015-02-01,Sulphate of Ammonia (21%),333.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10121,2015-02-01,Compound 10-5-25,416.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10122,2015-02-01,Compound 13-6-20,465.6797223599405,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10123,2015-02-01,Compound 15-3-20,465.6797223599405,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10125,2015-02-01,Compound 24-2.2-4.5,402.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10126,2015-02-01,Compound 19-0-15,403.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10127,2015-02-01,Compound 25-4-0,416.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34,-0.179076859
10128,2015-03-01,Calcium Ammonium Nitrate (27.5% N),330.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58,-0.142242794
10129,2015-03-01,Urea (46% N),413.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58,-0.142242794
10131,2015-03-01,Muriate of Potash (50% K),416.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58,-0.142242794
10132,2015-03-01,Compound 0-10-20,407.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58,-0.142242794
