Month,Price,Change
Apr-04,4.77,-
May-04,5.28,10.72%
Jun-04,5.16,-2.29%
Jul-04,4.84,-6.37%
Aug-04,4.44,-8.27%
Sep-04,4.21,-5.14%
Oct-04,5.13,22.01%
Nov-04,4.69,-8.67%
Dec-04,4.91,4.68%
Jan-05,4.69,-4.48%
Feb-05,4.72,0.65%
Mar-05,5.28,11.92%
Apr-05,5.53,4.65%
May-05,5.1,-7.76%
Jun-05,5.91,15.95%
Jul-05,6.34,7.25%
Aug-05,7.83,23.59%
Sep-05,10.51,34.16%
Oct-05,11.25,7.07%
Nov-05,8.85,-21.35%
Dec-05,10.82,22.28%
Jan-06,7.16,-33.88%
Feb-06,6.27,-12.32%
Mar-06,5.74,-8.50%
Apr-06,5.78,0.66%
May-06,4.86,-15.97%
Jun-06,4.89,0.79%
Jul-06,4.93,0.70%
Aug-06,5.46,10.88%
Sep-06,3.82,-30.11%
Oct-06,4.73,23.77%
Nov-06,5.78,22.39%
Dec-06,4.98,-13.90%
Jan-07,5.06,1.65%
Feb-07,6.1,20.42%
Mar-07,5.38,-11.80%
Apr-07,5.62,4.44%
May-07,5.63,0.30%
Jun-07,5.44,-3.41%
Jul-07,4.54,-16.64%
Aug-07,4.55,0.36%
Sep-07,4.39,-3.54%
Oct-07,4.78,8.87%
Nov-07,4.86,1.74%
Dec-07,4.91,0.92%
Jan-08,5.44,10.76%
Feb-08,5.8,6.67%
Mar-08,6.06,4.43%
Apr-08,6.43,6.22%
May-08,7.22,12.24%
Jun-08,8.15,12.94%
Jul-08,7.07,-13.28%
Aug-08,5.51,-22.05%
Sep-08,5.35,-2.88%
Oct-08,5.06,-5.50%
Nov-08,5.24,3.57%
Dec-08,4.31,-17.65%
Jan-09,3.96,-8.22%
Feb-09,3.54,-10.71%
Mar-09,3.03,-14.32%
Apr-09,2.65,-12.40%
May-09,2.79,5.21%
Jun-09,2.71,-2.89%
Jul-09,2.41,-11.24%
Aug-09,2.21,-8.26%
Sep-09,2.03,-7.92%
Oct-09,2.71,33.47%
Nov-09,2.47,-8.82%
